Asset,Total Count,Total Value (USD)
origin-protocol,586.845,113.15
ost,22502.61379,8.31
ost,22502.61379,8.31
ost,22502.61379,8.31
paal-ai,2850,1708.8
paxos-standard-token,10.14558049,10.14
paxos-standard-token,0.815441976,0.82
paxos-standard-token,11.14558049,11.14
paybolt,102932893,5893.94
pchain,0.304,0
piccolo-inu,37077069992,370.77
piccolo-inu,39027112192,390.27
pickle-finance,20982.84952,38818.27
pnetwork,32078.08269,1237.2
pochi-inu,19911485.27,76.46
polker,211519979.8,775840.48
polymath,3.196552853,0.27
polymath,3.196552853,0.27
polymath,3.196552853,0.27
pop-chest-token,68859.35,0.71
power-ledger,51.383536,18.25
project-galaxy,251.7806634,1085.17
proton,0.0005,0
proton,0.0005,0
proton,0.0005,0
pumapay,15333.53189,0.1
pumapay,15333.53189,0.1
pumapay,15333.53189,0.1
pundi-x,728819.169,428.48
pundi-x,726427.2203,427.07
pundi-x,731408.2717,430
qash,5.697504,0.15
qash,5.697504,0.15
qash,5.697504,0.15
quadrant-protocol,1353655.174,9296.11
quant,0.151774982,18.27
quant,2.49270648,300
quant,2.19270648,263.89
quant,28.81700594,3468.13
quarkchain,3715.376384,48.9
quarkchain,3715.376384,48.9
quarkchain,3715.376384,48.9
quick,0.14324801,11.41
radio-caca,14189.34741,4.61
raiden-network-token,1.00E-18,0
raiden-network-token,0.0038,0
rai-finance,169485.8444,4810.23
rarible,1000.41,3931.61
rbx-token,225.2252252,0.77
reef,71175.33747,198.53
refereum,1046.61,0.09
renbtc,1.00E-05,0.65
republic-protocol,16034.91188,1416.71
republic-protocol,16176.18777,1429.19
republic-protocol,17426.58777,1539.67
republic-protocol,187.1777686,16.54
rio-defi,1670371.54,5319.73
ripio-credit-network,6.00E-18,0
ripio-credit-network,130064.9428,343.73
rlc,2641.16044,8583.77
rollbit-coin,127,13.79
safemoon-inu,5386926.385,6.46
sai,36.76961841,871.44
sai,8.680258203,205.72
sai,542.5498946,12858.43
saiko-the-revival,86056.32512,0.38
saitama-inu,216151.3043,428.68
saitama-inu,747853.8425,1483.17
sanshu-inu,1.03E+14,0
scarcity,234.7751306,24602.09
sentinel-protocol,135120.75,13277.78
shadows,1240660.859,7301.26
shapeshift-fox-token,200,19.41
shibadoge,1.27E+19,0
shiba-inu,52154174.31,1367.48
shiba-inu,128553720.6,3370.68
shiba-inu,696967395.9,18274.49
shibaken-finance,11591706,0
shibaken-finance,3.82E+12,0
shibaken-finance,7.78E+12,0
shiba-nodes,26292285.49,383.87
shibarium-dao,20204689.55,1939.45
shih-tzu,1.25E+14,0
shih-tzu,1.25E+14,0
shinji-inu,1.24E+20,0
sifchain,1.73E-13,0
sirin-labs-token,54.67037713,0.02
skale,103942.7588,11263.39
small-doge,1.98E+11,35640
snibbu,11036.70386,279.09
snibbu,11036.70386,279.09
sopay,32,0
spaceswap-milk2,2344841.382,37526.07
spacey-2025,1225149.051,53287.22
spankchain,4.743080424,0.03
spankchain,4.743080424,0.03
spankchain,4.743080424,0.03
spell-token,9.91E-12,0
spherium,1000,7.19
stackos,41898975.44,0
staked-ether,1.00E-18,0
staked-ether,6.347863982,20620.02
starlink,8888888,29.69
stasis-eurs,0.91,0.98
stats,882.6934144,384.16
stats,378.8759101,164.89
status,2.66745705,0.12
status,136649.0661,5987.79
status,795913288.5,34875901.53
status,20.97835705,0.92
storj,21.24,14.27
storj,5.012,3.37
streamr-xdata,0.787599511,0.06
streamr-xdata,9.26307535,0.66
streamr-xdata,5198.409405,368.65
streamr-xdata,1318.338608,93.49
strong,1.417714286,6.66
studentcoin,11686.44716,40.51
sudoswap,14892500,2768679.57
sunrise,115717451,28722.23
sushi,15.43238124,25.31
sushi,62727.02515,102872.32
swerve-dao,517.9724935,9.71
swftcoin,161,1.06
swftcoin,161,1.06
swingby,915760.9262,348.96
swtcoin,40078.10568,0.03
swtcoin,20000,0.02
swtcoin,20000,0.02
synapse-2,247.7058,292.29
tax-haven-inu,5.19E+19,0
terrausd-wormhole,2.11E-13,0
tether,12026.47467,12010.52
tether,1940.728362,1938.15
tether,38,37.95
tether,15083.57487,15063.56
tether,32334.44973,32291.54
the-graph,2.17E-05,0
the-sandbox,71,43.34
tiger-king,2582848,2.79
tokenclub,8.66E-09,0
tokenclub,8.66E-09,0
tokenize-xchange,0.00010605,0
tokenize-xchange,0.00045344,0.01
tokenize-xchange,0.00010476,0
tokpie,10.8553,7.76
tomochain,4.029789829,3.62
tomochain,4.029789829,3.62
tomochain,4.029789829,3.62
torum,9206063.135,599296.3
totoro-inu,3.45E+13,0
tradestars,3258087.418,7942.57
tradix,5054.468654,14.75
tranche-finance,56.31501533,2.18
tranche-finance,21.91979786,0.85
tribe-2,6.55376355,3.11
tribe-2,54289.59511,25783
tronclassic,8.95E-09,0
tronclassic,8.94E-09,0
truefi,1.61757266,0.21
trueusd,9.526324746,9.52
trueusd,0.663796562,0.66
trueusd,10.65102798,10.65
trueusd,0.663796562,0.66
uma,763.1012653,2899.78
unfederalreserve,822505.1275,2888.35
uni-ald-weth-0xed6c2f053af48cba6cbc0958124671376f01a903,902.5320207,37421.11
uni-bac-dai-0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd,4.45E-14,0
uni-band-weth-0xf421c3f2e695c2d4c0765379ccace8ade4a480d9,60.79393992,19069.96
uni-boost-weth-0xbc6d37be25b06471d9e094dbb800c1d006e5a9ed,0.70352942,2.9
unibright,9506,913.96
unibright,6,0.58
unibright,6,0.58
uni-chedda-weth-0x32a505bf9db617d23bf3ebaac9aef80cb24a828c,19188.28622,6860.49
uni-coshi-weth-0x1c6faf9ad252390ee5e6f0b2f8d2fc927a8eb4e6,1.523238014,164.7
uni-cream-weth-0xddf9b7a31b32ebaf5c064c80900046c9e5b7c65f,7.77E-16,0
uni-cvp-weth-0x12d4444f96c644385d8ab355f6ddf801315b6254,22.35734916,3705.52
uni-dai-weth-0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,22.59609325,4273.66
unidex,5.421614426,9.16
uni-elon-weth-0x7b73644935b8e68019ac6356c40661e1bc315860,152407.1274,18431.53
uni-ersdl-weth-0x7ba9b94127d434182287de708643932ec036d365,5572.024568,73123.94
uni-kimchi-weth-0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,55381.61295,39360.54
uni-moma-weth-0x611abc072ee91c0cc19ffef97ac7e69a1a7a17ec,538.6351772,4780.69
uni-pickle-weth-0xdc98556ce24f007a5ef6dc1ce96322d65832a819,0.428706093,93.54
unique-utility-token,342,1.67
uni-shibdoge-weth-0x3016a43b482d0480460f6625115bd372fe90c6bf,121314264.9,3176532.75
uni-susd-weth-0xf80758ab42c3b07da84053fd88804bcb6baa4b5c,391.0331343,90968.94
uniswap,405.6780023,4558.42
uniswap,415.0073705,4663.25
uniswap,677.8001035,7616.14
uni-usdc-usdt-0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,1.00E-12,2.61
uni-usdc-weth-0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0.007470654,1979011.86
uni-weth-hoge-0x7fd1de95fc975fbbd8be260525758549ec477960,0.030448989,1468.56
uni-weth-msi-0x6e48dbea2d3b37e4d605fda71e85c52ebc40aa40,921878.2164,150691.46
uni-weth-usdt-0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0.000128028,36342.82
uni-weth-yasha-0x3b35a99780fc2c85943e67a901f10bd7317fec75,2076505.091,67991.57
uni-yfi-weth-0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,0.351172636,9468.57
upcx,1,2.49
upcx,1,2.49
usd-coin,473.899839,472.95
usd-coin,11410.51935,11387.72
usd-coin,10174.77449,10154.45
usd-coin,6277.691231,6265.15
usd-coin,4654.442128,4645.14
value-liquidity,802.2520408,29.68
value-liquidity,0.036864,0
verasity,18.57937602,0.14
veritaseum,0.00576812,0.15
veritaseum,7.55E-10,0
veritaseum,0.00576812,0.15
very-special-dragon,618151.8208,2.27
vetme,15000,46.4
vinlink,46457197.4,112.89
voxel-x-network,236.29365,0.47
waltonchain,0.222406737,0
wepower,1500,0.54
wepower,1500,0.54
wepower,1500.000027,0.54
weth,27.15967562,88533.21
weth,2.098883608,6841.79
weth,1.00E-07,0
weth,0.23629624,770.26
weth,4.978158013,16227.45
whale,1280.7282,988.6
white-rhinoceros,12036.00312,0
witch-token,78877.65364,25730.29
wliti,13,0.06
worldcore,907,0.27
worldcore,907,0.27
worldcore,907,0.27
wpt-investing-corp,27360.67382,461.37
wrapped-bitcoin,0.00379368,248.12
wrapped-bitcoin,60.07367158,3929058.42
wrapped-bitcoin,24.4998082,1602385.46
wrapped-fantom,641.872978,568.38
wrapped-fantom,1410.345191,1248.86
wrapped-fantom,644.5774603,570.77
wrapped-fantom,1286.450438,1139.15
wrapped-nxm,3.21E-05,0
wrapped-nxm,3.21E-05,0
wrapped-steth,0.440820431,1676.59
xceltoken-plus,150,0
xceltoken-plus,150,0
xceltoken-plus,50,0
xen-crypto,9684.457063,0
xen-crypto,1000,0
xyo-network,3500,32.9
xyo-network,3500,32.9
xyo-network,3500,32.9
yasha-dao,15000465.71,40.05
yearn-finance,0.00047158,3.82
yearn-finance,0.003374162,27.35
yearn-finance,8.71E-05,0.71
yflink,6.90E-05,0
yield-app,9427.687493,785.12
yield-guild-games,436303.5981,602098.97
yvyfi-0xe14d13d8b3b85af791b2aadd661cdbd5e6097db1,0.082226552,715.85
zebi,13.86923227,0
zebi,13.86923227,0
zebi,13.86923227,0
zeniq,1.49184778,0.06
zeniq,11.64494567,0.47
zeon,95,0.03
zion-token,69,0.45
zombie-inu-2,7937.8175,9.2
zombie-inu-2,96,0.11
zombie-inu-2,7937.8175,9.2
